"full_school_name","school_name","player_name","position","height","weight","year","hometown","state","id"
"Cincinnati Bearcats","Cincinnati","Ralph Abernathy","RB",67.0,161.0,"JR","ATLANTA, GA","GA",1
"Cincinnati Bearcats","Cincinnati","Mekale McKay","WR",78.0,195.0,"SO","LOUISVILLE, KY","KY",2
"Cincinnati Bearcats","Cincinnati","Trenier Orr","CB",71.0,177.0,"SO","WINTER GARDEN, FL","FL",3
"Cincinnati Bearcats","Cincinnati","Bennie Coney","QB",75.0,216.0,"FR","PLANT CITY, FL","FL",4
"Cincinnati Bearcats","Cincinnati","Johnny Holton","WR",75.0,190.0,"JR","MIAMI, FL","FL",5
"Cincinnati Bearcats","Cincinnati","Howard Wilder","DB",71.0,180.0,"JR","SEA ISLAND, GA","GA",6
"Cincinnati Bearcats","Cincinnati","Munchie Legaux","QB",77.0,200.0,"SR","NEW ORLEANS, LA","LA",7
"Cincinnati Bearcats","Cincinnati","Mark Barr","WR",73.0,163.0,"FR","FORT LAUDERDALE, FL","FL",8
"Cincinnati Bearcats","Cincinnati","Aaron Brown","CB",71.0,172.0,"FR","MIAMI, FL","FL",9
"Cincinnati Bearcats","Cincinnati","Anthony McClung","WR",73.0,177.0,"SR","INDIANAPOLIS, IN","IN",10
"Cincinnati Bearcats","Cincinnati","Tion Green","RB",73.0,220.0,"SO","SANFORD, FL","FL",11
"Cincinnati Bearcats","Cincinnati","Mike Tyson","S",74.0,200.0,"SR","NORFOLK, VA","VA",12
"Cincinnati Bearcats","Cincinnati","Gunner Kiel","QB",76.0,208.0,"FR","COLUMBUS, IN","IN",13
"Cincinnati Bearcats","Cincinnati","Adrian Witty","S",70.0,187.0,"JR","DEERFIELD BEACH, FL","FL",14
"Cincinnati Bearcats","Cincinnati","Patrick Coyne","FB",73.0,240.0,"SO","CINCINNATI, OH","OH",15
"Cincinnati Bearcats","Cincinnati","Dionne Thrweatt-Vassar","CB",70.0,190.0,"SR","--","--",16
"Cincinnati Bearcats","Cincinnati","Jordan Luallen","FB",75.0,240.0,"SR","GREENWOOD, IN","IN",17
"Cincinnati Bearcats","Cincinnati","Deven Drane","CB",71.0,187.0,"SR","PLANTATION, FL","FL",18
"Cincinnati Bearcats","Cincinnati","Brendon Kay","QB",76.0,228.0,"SR","MARINE CITY, MI","MI",19
"Cincinnati Bearcats","Cincinnati","Leviticus Payne","CB",69.0,183.0,"SO","SOUTHFIELD, MI","MI",20
